类别,指标,单位,基期均值,ITT,ITT标准误,使用者效应,使用者效应标准误,人数,观测数,多重检验调整后显著
邮件,Outlook使用时间,小时/周,11.65,-1.37,0.13,-2.03,0.19,6441,250145,是
邮件,Outlook会话次数,次/周,31.67,-3.56,0.30,-5.30,0.44,6441,250145,是
邮件,无邮件干扰工作时段,小时/周,26.18,1.48,0.14,2.20,0.21,6441,250145,是
邮件,非工作时段Outlook时间,小时/周,2.19,-0.33,0.038,-0.49,0.057,6441,250145,是
邮件,阅读邮件数,封/周,160.83,-6.69,1.62,-10.02,2.43,6387,223702,是
邮件,回复的独立邮件线程数,个/周,14.51,-0.16,0.17,-0.24,0.25,6441,267887,否
邮件,邮件送达至回复时间,小时,16.55,-0.33,0.17,-0.47,0.24,6432,235121,否
会议,Teams会议时间,小时/周,5.22,0.10,0.054,0.14,0.076,6170,155003,否
会议,参加Teams会议数,次/周,9.93,0.24,0.11,0.34,0.15,6170,253723,否
会议,迟到或早退会议占比,百分点,30.65,0.019,0.27,0.026,0.37,6086,128660,否
会议,周期性Teams会议时间,小时/周,2.32,0.037,0.029,0.052,0.041,6170,202314,否
文档,Word使用时间,小时/周,1.63,0.14,0.065,0.19,0.089,2525,104913,否
文档,文档平均完成时间,小时,186.54,-3.98,8.96,-5.27,11.86,2521,29683,否
文档,协作文档平均完成时间,小时,287.85,-48.03,21.50,-60.56,27.17,1763,8700,否
文档,非协作文档平均完成时间,小时,158.07,0.16,9.07,0.22,12.02,2506,25252,否
文档,完成文档数,份/周,0.76,0.029,0.025,0.039,0.035,2525,77138,否
文档,完成协作文档数,份/周,0.14,0.011,0.0072,0.015,0.0098,2525,77138,否
总体,非工作时段软件使用时间,小时/周,2.72,-0.25,0.050,-0.36,0.075,6304,244944,是
